Destination Host (IP/FQDN),Destination Port,Protocol,Service,Region,temi Robot,temi Mobile app,temi Center,Verified by hapi-robo s.t.,Recommended,WebSockets,ICMP Blocked,Notes
api.temi.cloud,"80, 443",TCP,temi API,Worldwide,O,O,O,O,O,,,
api.robotemi.com,"80, 443",TCP,temi API,Worldwide,O,O,O,O,O,,,
broker.temi.cloud,443,TCP,MQTT over WebSockets,Worldwide,O,O,,O,O,O,,
broker-wss.temi.cloud,443,TCP,MQTT over WebSockets,Worldwide,,,O,O,O,O,O,
haine.approoval.com,443,TCP,Device anti-tampering protection,Worldwide,O,O,,O,O,,,
att-robotemi.approovr.io,443,TCP,Device anti-tampering protection,Worldwide,O,O,,O,O,,,
launch-3.firedome.io,"443, 8883",TCP,Firedome security agent,Worldwide,O,,,O,O,,,
cdn.firedome.io,"443, 8883",TCP,Firedome security agent,Worldwide,O,,,O,O,,,
auth-3.firedome.io,"443, 8883",TCP,Firedome security agent,Worldwide,O,,,O,O,,,
mqtt.googleapis.com,"443, 8883",TCP,Firedome security agent,Worldwide,O,,,O,O,,,
api.ipify.org,"443, 8883",TCP,Firedome security agent (Public IP Address),Worldwide,O,,,O,O,,O,
temi-ota-updates.s3-accelerate.amazonaws.com,443,TCP,Over-the-air (OTA) Launcher and Robox updates,Worldwide,O,,,O,O,,,
dialogflow.cloud.google.com,443,TCP,Hey temi voice-assistant (Natural Language Processing),Worldwide,O,,,O,,,,Used when system default language is set to Japanese
dialogflow.googleapis.com,443,TCP,Hey temi voice-assistant (Natural Language Processing),Worldwide,O,,,O,,,,Used when system default language is set to Japanese
speech.googleapis.com,443,TCP,Hey temi voice-assistant (Automatic Speech Recognition),Worldwide,O,,,O,,,,Used when system default language is set to Japanese
oauth2.googleapis.com,443,TCP,Hey temi voice-assistant (Authentication),Worldwide,O,,,O,,,,Used when system default language is set to Japanese
texttospeech.googleapis.com,443,TCP,Hey temi voice-assistant (Text to Speech),Worldwide,O,,,O,,,,Used when system default language is set to Japanese
eastus.api.cognitive.microsoft.com,443,TCP,Hey temi voice-assistant (Text to Speech) Primary Host,Worldwide,O,,,O,,,O,Used when the Language attribute of the SDK method TtsRequest() is set to JA_JP.
eastus.tts.speech.microsoft.com,443,TCP,Hey temi voice-assistant (Text to Speech) Primary Host,Worldwide,O,,,O,,,O,Used when the Language attribute of the SDK method TtsRequest() is set to JA_JP.
